noise_relative,iter,timestamp,accept_counts_1,accept_counts_2,accept_counts_4,accept_counts_8,accept_counts_10,accept_counts_12,accept_counts_16,accept_counts_20,accept_counts_50,accept_counts_100,accept_counts_200,reject_counts_1,reject_counts_2,reject_counts_4,reject_counts_8,reject_counts_10,reject_counts_12,reject_counts_16,reject_counts_20,reject_counts_50,reject_counts_100,reject_counts_200,totals_1,totals_2,totals_4,totals_8,totals_10,totals_12,totals_16,totals_20,totals_50,totals_100,totals_200,acceptance_rates_1,acceptance_rates_2,acceptance_rates_4,acceptance_rates_8,acceptance_rates_10,acceptance_rates_12,acceptance_rates_16,acceptance_rates_20,acceptance_rates_50,acceptance_rates_100,acceptance_rates_200
0.000000,17,2025-09-23T20:16:26.24844-07:00,4947339,1629,0,0,0,0,0,0,0,0,0,4199430,3829735,159646,35806,99,0,0,0,0,0,0,9146769,3831364,159646,35806,99,0,0,0,0,0,0,0.540884,0.000425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,18,2025-09-23T20:16:28.250194-07:00,5251172,1748,0,0,0,0,0,0,0,0,0,4447849,4063260,181979,40781,113,0,0,0,0,0,0,9699021,4065008,181979,40781,113,0,0,0,0,0,0,0.541413,0.000430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,19,2025-09-23T20:16:30.252564-07:00,5555141,1866,0,0,0,0,0,0,0,0,0,4694497,4296614,182471,40831,114,0,0,0,0,0,0,10249638,4298480,182471,40831,114,0,0,0,0,0,0,0.541984,0.000434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,20,2025-09-23T20:16:32.254527-07:00,5859279,1995,0,0,0,0,0,0,0,0,0,4943288,4527217,182855,40851,114,0,0,0,0,0,0,10802567,4529212,182855,40851,114,0,0,0,0,0,0,0.542397,0.000440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,21,2025-09-23T20:16:34.255512-07:00,6163401,2137,0,0,0,0,0,0,0,0,0,5200114,4754619,205142,45831,128,0,0,0,0,0,0,11363515,4756756,205142,45831,128,0,0,0,0,0,0,0.542385,0.000449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,22,2025-09-23T20:16:36.256928-07:00,6467720,2255,0,0,0,0,0,0,0,0,0,5456565,4978053,205960,45854,128,0,0,0,0,0,0,11924285,4980308,205960,45854,128,0,0,0,0,0,0,0.542399,0.000453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,23,2025-09-23T20:16:38.258667-07:00,6772107,2388,0,0,0,0,0,0,0,0,0,5712532,5204016,228091,50807,142,0,0,0,0,0,0,12484639,5206404,228091,50807,142,0,0,0,0,0,0,0.542435,0.000459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,24,2025-09-23T20:16:40.260058-07:00,7076609,2505,0,0,0,0,0,0,0,0,0,5969720,5427451,228757,50853,143,0,0,0,0,0,0,13046329,5429956,228757,50853,143,0,0,0,0,0,0,0.542421,0.000461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,25,2025-09-23T20:16:42.260784-07:00,7381088,2630,0,0,0,0,0,0,0,0,0,6227027,5650888,229148,50860,143,0,0,0,0,0,0,13608115,5653518,229148,50860,143,0,0,0,0,0,0,0.542403,0.000465,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,26,2025-09-23T20:16:44.262439-07:00,7685793,2754,0,0,0,0,0,0,0,0,0,6485615,5875811,251336,55825,155,0,0,0,0,0,0,14171408,5878565,251336,55825,155,0,0,0,0,0,0,0.542345,0.000468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,27,2025-09-23T20:16:46.26344-07:00,7990497,2887,0,0,0,0,0,0,0,0,0,6744227,6099259,252128,55848,156,0,0,0,0,0,0,14734724,6102146,252128,55848,156,0,0,0,0,0,0,0.542290,0.000473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,28,2025-09-23T20:16:48.265126-07:00,8286963,3024,0,0,0,0,0,0,0,0,0,6999548,6324153,274192,60799,168,0,0,0,0,0,0,15286511,6327177,274192,60799,168,0,0,0,0,0,0,0.542110,0.000478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,29,2025-09-23T20:16:50.266237-07:00,8591887,3154,0,0,0,0,0,0,0,0,0,7258738,6547746,274848,60847,169,0,0,0,0,0,0,15850625,6550900,274848,60847,169,0,0,0,0,0,0,0.542054,0.000481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,30,2025-09-23T20:16:52.267315-07:00,8896932,3292,0,0,0,0,0,0,0,0,0,7513337,6773040,275326,60861,169,0,0,0,0,0,0,16410269,6776332,275326,60861,169,0,0,0,0,0,0,0.542156,0.000486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,31,2025-09-23T20:16:54.268968-07:00,9201898,3428,0,0,0,0,0,0,0,0,0,7766408,7000814,297421,65809,182,0,0,0,0,0,0,16968306,7004242,297421,65809,182,0,0,0,0,0,0,0.542299,0.000489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,32,2025-09-23T20:16:56.269584-07:00,9490301,3562,0,0,0,0,0,0,0,0,0,8017675,7224994,298175,65852,183,0,0,0,0,0,0,17507976,7228556,298175,65852,183,0,0,0,0,0,0,0.542056,0.000493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,33,2025-09-23T20:16:58.27079-07:00,9795475,3689,0,0,0,0,0,0,0,0,0,8275186,7453217,320250,70804,195,0,0,0,0,0,0,18070661,7456906,320250,70804,195,0,0,0,0,0,0,0.542065,0.000495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,34,2025-09-23T20:17:00.271807-07:00,10100671,3822,0,0,0,0,0,0,0,0,0,8532351,7679843,320713,70850,196,0,0,0,0,0,0,18633022,7683665,320713,70850,196,0,0,0,0,0,0,0.542084,0.000497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,35,2025-09-23T20:17:02.273257-07:00,10406020,3953,0,0,0,0,0,0,0,0,0,8789588,7906407,321179,70867,196,0,0,0,0,0,0,19195608,7910360,321179,70867,196,0,0,0,0,0,0,0.542104,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,36,2025-09-23T20:17:04.274611-07:00,10711363,4081,0,0,0,0,0,0,0,0,0,9046236,8134415,343340,75832,208,0,0,0,0,0,0,19757599,8138496,343340,75832,208,0,0,0,0,0,0,0.542139,0.000501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,37,2025-09-23T20:17:06.275956-07:00,11016796,4206,0,0,0,0,0,0,0,0,0,9302123,8360609,344147,75873,209,0,0,0,0,0,0,20318919,8364815,344147,75873,209,0,0,0,0,0,0,0.542194,0.000503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,38,2025-09-23T20:17:08.277905-07:00,11322292,4340,0,0,0,0,0,0,0,0,0,9557396,8588354,366298,80828,222,0,0,0,0,0,0,20879688,8592694,366298,80828,222,0,0,0,0,0,0,0.542263,0.000505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,39,2025-09-23T20:17:10.27934-07:00,11627856,4489,0,0,0,0,0,0,0,0,0,9812316,8814613,367059,80875,222,0,0,0,0,0,0,21440172,8819102,367059,80875,222,0,0,0,0,0,0,0.542340,0.000509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,0,2025-09-23T20:17:12.282144-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,1,2025-09-23T20:17:14.285705-07:00,352053,25,0,0,0,0,0,0,0,0,0,210427,261585,246725,5028,15,0,0,0,0,0,0,562480,261610,246725,5028,15,0,0,0,0,0,0,0.625894,0.000096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,2,2025-09-23T20:17:16.28735-07:00,706787,58,0,0,0,0,0,0,0,0,0,416281,523605,483067,5031,15,0,0,0,0,0,0,1123068,523663,483067,5031,15,0,0,0,0,0,0,0.629336,0.000111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,3,2025-09-23T20:17:18.289344-07:00,1070456,229,0,0,0,0,0,0,0,0,0,628975,796530,740409,10060,31,0,0,0,0,0,0,1699431,796759,740409,10060,31,0,0,0,0,0,0,0.629891,0.000287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,4,2025-09-23T20:17:20.290857-07:00,1426689,434,0,0,0,0,0,0,0,0,0,835156,1057720,975527,10076,31,0,0,0,0,0,0,2261845,1058154,975527,10076,31,0,0,0,0,0,0,0.630763,0.000410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,5,2025-09-23T20:17:22.294296-07:00,1783264,655,0,0,0,0,0,0,0,0,0,1043694,1317904,1209303,10080,31,0,0,0,0,0,0,2826958,1318559,1209303,10080,31,0,0,0,0,0,0,0.630807,0.000497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,6,2025-09-23T20:17:24.297456-07:00,2140286,869,0,0,0,0,0,0,0,0,0,1252630,1575196,1456874,15092,46,0,0,0,0,0,0,3392916,1576065,1456874,15092,46,0,0,0,0,0,0,0.630810,0.000551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,7,2025-09-23T20:17:26.299015-07:00,2497869,1111,0,0,0,0,0,0,0,0,0,1459334,1832737,1694729,15108,46,0,0,0,0,0,0,3957203,1833848,1694729,15108,46,0,0,0,0,0,0,0.631221,0.000606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,8,2025-09-23T20:17:28.300035-07:00,2855977,1341,0,0,0,0,0,0,0,0,0,1662626,2090870,1946079,20125,61,0,0,0,0,0,0,4518603,2092211,1946079,20125,61,0,0,0,0,0,0,0.632049,0.000641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,9,2025-09-23T20:17:30.300644-07:00,3214196,1553,0,0,0,0,0,0,0,0,0,1865688,2349353,2186230,20142,61,0,0,0,0,0,0,5079884,2350906,2186230,20142,61,0,0,0,0,0,0,0.632730,0.000661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,10,2025-09-23T20:17:32.301692-07:00,3572597,1779,0,0,0,0,0,0,0,0,0,2068894,2607889,2425976,20152,61,0,0,0,0,0,0,5641491,2609668,2425976,20152,61,0,0,0,0,0,0,0.633272,0.000682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,11,2025-09-23T20:17:34.302875-07:00,3930757,2038,0,0,0,0,0,0,0,0,0,2274474,2868627,2670159,25368,77,0,0,0,0,0,0,6205231,2870665,2670159,25368,77,0,0,0,0,0,0,0.633459,0.000710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,12,2025-09-23T20:17:36.304553-07:00,4288542,2318,0,0,0,0,0,0,0,0,0,2479803,3133283,2895726,25409,77,0,0,0,0,0,0,6768345,3135601,2895726,25409,77,0,0,0,0,0,0,0.633618,0.000739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,13,2025-09-23T20:17:38.306702-07:00,4647006,2587,0,0,0,0,0,0,0,0,0,2683342,3397705,3133826,30423,91,0,0,0,0,0,0,7330348,3400292,3133826,30423,91,0,0,0,0,0,0,0.633941,0.000761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,14,2025-09-23T20:17:40.307951-07:00,5005714,2877,0,0,0,0,0,0,0,0,0,2886833,3662324,3361783,30584,92,0,0,0,0,0,0,7892547,3665201,3361783,30584,92,0,0,0,0,0,0,0.634233,0.000785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,15,2025-09-23T20:17:42.309924-07:00,5364364,3197,0,0,0,0,0,0,0,0,0,3090210,3927141,3590136,30606,92,0,0,0,0,0,0,8454574,3930338,3590136,30606,92,0,0,0,0,0,0,0.634493,0.000813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,16,2025-09-23T20:17:44.312873-07:00,5723161,3561,0,0,0,0,0,0,0,0,0,3293865,4192197,3829113,35743,108,0,0,0,0,0,0,9017026,4195758,3829113,35743,108,0,0,0,0,0,0,0.634706,0.000849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,17,2025-09-23T20:17:46.313594-07:00,6082103,3885,0,0,0,0,0,0,0,0,0,3497492,4457236,4057065,35766,108,0,0,0,0,0,0,9579595,4461121,4057065,35766,108,0,0,0,0,0,0,0.634902,0.000871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,18,2025-09-23T20:17:48.315631-07:00,6441017,4192,0,0,0,0,0,0,0,0,0,3701112,4722250,4295730,40771,122,0,0,0,0,0,0,10142129,4726442,4295730,40771,122,0,0,0,0,0,0,0.635075,0.000887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,19,2025-09-23T20:17:50.316477-07:00,6800072,4539,0,0,0,0,0,0,0,0,0,3904229,4987404,4523609,40943,123,0,0,0,0,0,0,10704301,4991943,4523609,40943,123,0,0,0,0,0,0,0.635265,0.000909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,20,2025-09-23T20:17:52.317594-07:00,7159139,4889,0,0,0,0,0,0,0,0,0,4107201,5252722,4751489,40961,123,0,0,0,0,0,0,11266340,5257611,4751489,40961,123,0,0,0,0,0,0,0.635445,0.000930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,21,2025-09-23T20:17:54.319338-07:00,7518246,5300,0,0,0,0,0,0,0,0,0,4309708,5518098,4990545,46118,138,0,0,0,0,0,0,11827954,5523398,4990545,46118,138,0,0,0,0,0,0,0.635634,0.000960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,22,2025-09-23T20:17:56.326653-07:00,7859770,5855,0,0,0,0,0,0,0,0,0,4500813,5770755,5212756,46154,138,0,0,0,0,0,0,12360583,5776610,5212756,46154,138,0,0,0,0,0,0,0.635874,0.001014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
