timestamp,git_sha,process_noise_pos,process_noise_vel,measurement_noise,candidate_run_id,reference_run_id,duration_seconds_requested,detection_rate,false_positive_rate,composite_score,matched_count,reference_count,candidate_count,wall_duration_seconds,error
2026-09-18T10:44:45-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,0.05,0.01,b45c3281-3ceb-4a3e-b429-d288ac30b18b,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9761904761904762,-1.3273809523809523,1,8,42,78.36,
2026-09-18T10:46:03-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,0.05,0.05,5461bcbd-1510-4a32-be87-53107c71856f,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.98,-1.335,1,8,50,74.42,
2026-09-18T10:47:17-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,0.05,0.25,7bbaf020-59db-43a0-b8d8-2b1f6db50008,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9807692307692307,-1.3365384615384615,1,8,52,74.42,
2026-09-18T10:48:32-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,0.2,0.01,a47bd2fb-4a0a-41da-b9f1-708f0491e03b,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9767441860465116,-1.3284883720930232,1,8,43,78.44,
2026-09-18T10:49:50-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,0.2,0.05,efecccdb-0d5f-4439-be2d-f80e67b0c800,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9803921568627451,-1.3357843137254901,1,8,51,74.39,
2026-09-18T10:51:05-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,0.2,0.25,32b46e91-08ee-40f1-a44b-81d1a0b942b7,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.98,-1.335,1,8,50,80.38,
2026-09-18T10:52:25-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,2.0,0.01,f53270a8-88e8-4d60-a337-23f975a54586,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9787234042553191,-1.3324468085106382,1,8,47,74.44,
2026-09-18T10:53:39-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,2.0,0.05,98286d6d-828c-4b17-b45f-10fee4fef087,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9795918367346939,-1.3341836734693877,1,8,49,76.38,
2026-09-18T10:54:56-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,2.0,0.25,965871bf-5e6f-4cc4-8047-b1010ea7c736,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9795918367346939,-1.3341836734693877,1,8,49,74.31,
2026-09-18T10:56:10-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,0.05,0.01,fe9606dc-1463-4806-b2f1-ae7fce351278,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9777777777777777,-1.3305555555555555,1,8,45,74.42,
2026-09-18T10:57:25-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,0.05,0.05,11e4c413-ddd3-450f-b8d6-b521efa23a69,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9803921568627451,-1.3357843137254901,1,8,51,74.43,
2026-09-18T10:58:39-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,0.05,0.25,a735c564-393b-4165-a351-e29f0f0d2675,f069fab4-17ad-4306-907d-767b9c721489,80,0.25,0.9622641509433962,-1.1745283018867925,2,8,53,74.42,
2026-09-18T10:59:53-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,0.2,0.01,376ff5c5-0cd9-4fbb-98e0-955d4c7f2f4f,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9772727272727273,-1.3295454545454546,1,8,44,74.43,
2026-09-18T11:01:08-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,0.2,0.05,a7111404-4066-45de-b39a-9848817527e5,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.98,-1.335,1,8,50,78.46,
2026-09-18T11:02:26-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,0.2,0.25,6d8d7e3a-b0e5-43b0-88e2-069d547b3a49,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.98,-1.335,1,8,50,76.47,
2026-09-18T11:03:43-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,2.0,0.01,1ad9046e-26e2-457e-bf45-6bd47b8c1a6a,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9791666666666666,-1.3333333333333333,1,8,48,74.36,
2026-09-18T11:04:57-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,2.0,0.05,d89a5e48-ff3f-49b8-a1f6-3832b7a00a68,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9787234042553191,-1.3324468085106382,1,8,47,76.39,
2026-09-18T11:06:13-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,2.0,0.25,47fb7469-eef2-44da-ae66-ad497a77553b,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9795918367346939,-1.3341836734693877,1,8,49,74.33,
2026-09-18T11:07:28-0700,9305732adc1b66807a255952b323745fe9de74c3,0.5,0.05,0.01,0b67a9af-cb45-4109-9d31-57c90b198d5e,f069fab4-17ad-4306-907d-767b9c721489,80,0.125,0.9795918367346939,-1.3341836734693877,1,8,49,74.37,
2026-09-18T11:08:42-0700,9305732adc1b66807a255952b323745fe9de74c3,0.5,0.05,0.05,61043136-4cc9-4dc6-a3d0-71ee9c40f749,f069fab4-17ad-4306-907d-767b9c721489,80,0.25,0.96,-1.17,2,8,50,74.43,
