timestamp,git_sha,process_noise_pos,process_noise_vel,measurement_noise,candidate_run_id,reference_run_id,duration_seconds_requested,detection_rate,false_positive_rate,composite_score,matched_count,reference_count,candidate_count,wall_duration_seconds,error
2026-09-18T10:39:12-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,0.05,0.01,cd3a38b9-781b-42bc-9128-77af7d8b9be8,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.25,0.9354838709677419,-1.1209677419354838,4,16,62,14.26,
2026-09-18T10:39:27-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,0.05,0.05,73ceb630-c8cd-49d0-8053-5687f5a2424a,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9113924050632911,-0.8852848101265822,7,16,79,12.16,
2026-09-18T10:39:39-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,0.05,0.25,6c9b367b-4f46-4369-a59a-df242b3c3d26,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9213483146067416,-0.9051966292134832,7,16,89,12.17,
2026-09-18T10:39:51-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,0.2,0.01,594ecaca-04d0-40bf-b829-d27d3dd4e6d5,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.5,0.8987341772151899,-0.7974683544303798,8,16,79,12.12,
2026-09-18T10:40:03-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,0.2,0.05,86d074df-9f41-4c14-bd30-282bff047cf3,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9113924050632911,-0.8852848101265822,7,16,79,12.16,
2026-09-18T10:40:15-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,0.2,0.25,05992ea4-106b-4cc9-8617-76e26165d307,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9186046511627907,-0.8997093023255813,7,16,86,12.18,
2026-09-18T10:40:27-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,2.0,0.01,6bab8c11-998b-4cf6-9b78-53a222f10c7a,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9102564102564102,-0.8830128205128205,7,16,78,12.21,
2026-09-18T10:40:40-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,2.0,0.05,01d52b32-0c8b-4fe6-8dc0-f711f87e45ab,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9146341463414634,-0.8917682926829269,7,16,82,12.17,
2026-09-18T10:40:52-0700,9305732adc1b66807a255952b323745fe9de74c3,0.01,2.0,0.25,9048192b-7f5f-481e-a45e-833850f4d132,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9176470588235294,-0.8977941176470587,7,16,85,12.23,
2026-09-18T10:41:04-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,0.05,0.01,11e10b6d-de58-4718-905b-b5c933ce091c,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.5,0.8974358974358975,-0.7948717948717949,8,16,78,12.16,
2026-09-18T10:41:16-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,0.05,0.05,329964bf-10e3-4886-b0f6-71a7661fc1d1,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9156626506024096,-0.8938253012048192,7,16,83,12.15,
2026-09-18T10:41:28-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,0.05,0.25,54f667d7-c835-49ae-bdfa-f2f1204f12d3,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9213483146067416,-0.9051966292134832,7,16,89,12.2,
2026-09-18T10:41:40-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,0.2,0.01,4130b516-6e6c-4d76-b03d-49dbb2dcdec8,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.5,0.8987341772151899,-0.7974683544303798,8,16,79,12.23,
2026-09-18T10:41:53-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,0.2,0.05,390f19b3-6e34-423f-8e65-9a65a63100aa,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9135802469135802,-0.8896604938271604,7,16,81,12.23,
2026-09-18T10:42:05-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,0.2,0.25,501d82f6-c65a-4a9a-a0a0-40bfa876ed15,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9156626506024096,-0.8938253012048192,7,16,83,12.2,
2026-09-18T10:42:17-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,2.0,0.01,1df80433-afa7-4edf-823a-8399b2a4f60a,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.5,0.8987341772151899,-0.7974683544303798,8,16,79,12.16,
2026-09-18T10:42:29-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,2.0,0.05,5393bfd9-753c-4b1f-b122-9525c1c89b1a,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9146341463414634,-0.8917682926829269,7,16,82,12.15,
2026-09-18T10:42:41-0700,9305732adc1b66807a255952b323745fe9de74c3,0.05,2.0,0.25,7862c210-58e5-401f-8113-b3c869e41571,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9176470588235294,-0.8977941176470587,7,16,85,12.14,
2026-09-18T10:42:54-0700,9305732adc1b66807a255952b323745fe9de74c3,0.5,0.05,0.01,87db9d89-7395-4128-879a-5d530d9de207,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9135802469135802,-0.8896604938271604,7,16,81,12.22,
2026-09-18T10:43:06-0700,9305732adc1b66807a255952b323745fe9de74c3,0.5,0.05,0.05,a612d436-da32-49bd-830b-50e5be5ba397,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9135802469135802,-0.8896604938271604,7,16,81,12.14,
2026-09-18T10:43:18-0700,9305732adc1b66807a255952b323745fe9de74c3,0.5,0.05,0.25,1c09685e-3605-4e9a-a68b-19376f53a766,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9195402298850575,-0.9015804597701149,7,16,87,12.18,
2026-09-18T10:43:30-0700,9305732adc1b66807a255952b323745fe9de74c3,0.5,0.2,0.01,57da9f9a-4acc-4c19-ab30-1b5fa146c60b,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9146341463414634,-0.8917682926829269,7,16,82,12.26,
2026-09-18T10:43:42-0700,9305732adc1b66807a255952b323745fe9de74c3,0.5,0.2,0.05,aa6033c9-e89e-432b-8b44-1d822cdbb730,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9125,-0.8875,7,16,80,12.2,
2026-09-18T10:43:55-0700,9305732adc1b66807a255952b323745fe9de74c3,0.5,0.2,0.25,13b423ee-7f5c-475c-95e1-14e29e3fb434,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9195402298850575,-0.9015804597701149,7,16,87,12.22,
2026-09-18T10:44:07-0700,9305732adc1b66807a255952b323745fe9de74c3,0.5,2.0,0.01,72563fba-91c7-4a95-964c-9a4f7e1c64d1,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9125,-0.8875,7,16,80,12.19,
2026-09-18T10:44:19-0700,9305732adc1b66807a255952b323745fe9de74c3,0.5,2.0,0.05,1807ffcf-4cc5-4cf7-b7ee-f76aa2072149,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9113924050632911,-0.8852848101265822,7,16,79,12.15,
2026-09-18T10:44:31-0700,9305732adc1b66807a255952b323745fe9de74c3,0.5,2.0,0.25,f4b40b46-eab7-4482-aa39-e387d6eaedc8,dd98c68e-4e51-4155-a1ee-1d5bc12535ae,95,0.4375,0.9166666666666666,-0.8958333333333333,7,16,84,12.18,
