noise_relative,iter,timestamp,accept_counts_1,accept_counts_2,accept_counts_4,accept_counts_8,accept_counts_10,accept_counts_12,accept_counts_16,accept_counts_20,accept_counts_50,accept_counts_100,accept_counts_200,reject_counts_1,reject_counts_2,reject_counts_4,reject_counts_8,reject_counts_10,reject_counts_12,reject_counts_16,reject_counts_20,reject_counts_50,reject_counts_100,reject_counts_200,totals_1,totals_2,totals_4,totals_8,totals_10,totals_12,totals_16,totals_20,totals_50,totals_100,totals_200,acceptance_rates_1,acceptance_rates_2,acceptance_rates_4,acceptance_rates_8,acceptance_rates_10,acceptance_rates_12,acceptance_rates_16,acceptance_rates_20,acceptance_rates_50,acceptance_rates_100,acceptance_rates_200
0.310000,14,2025-09-23T21:08:13.737791-07:00,7865096,3648450,6091256,1361307,608,0,0,0,0,0,0,39834,12205,1673,1225,3098,0,0,0,0,0,0,7904930,3660655,6092929,1362532,3706,0,0,0,0,0,0,0.994961,0.996666,0.999725,0.999101,0.164058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,15,2025-09-23T21:08:15.755611-07:00,8417538,3934861,6531796,1461152,667,0,0,0,0,0,0,40328,13898,1800,1322,3312,0,0,0,0,0,0,8457866,3948759,6533596,1462474,3979,0,0,0,0,0,0,0.995232,0.996480,0.999725,0.999096,0.167630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,16,2025-09-23T21:08:17.757067-07:00,8970362,4214879,6973371,1559621,726,0,0,0,0,0,0,40822,15186,1955,1413,3521,0,0,0,0,0,0,9011184,4230065,6975326,1561034,4247,0,0,0,0,0,0,0.995470,0.996410,0.999720,0.999095,0.170944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,17,2025-09-23T21:08:19.758536-07:00,9522301,4493366,7417970,1658340,789,0,0,0,0,0,0,41319,15601,2135,1501,3733,0,0,0,0,0,0,9563620,4508967,7420105,1659841,4522,0,0,0,0,0,0,0.995680,0.996540,0.999712,0.999096,0.174480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,18,2025-09-23T21:08:21.759772-07:00,10072418,4773348,7862724,1757131,848,0,0,0,0,0,0,41813,16006,2317,1591,3943,0,0,0,0,0,0,10114231,4789354,7865041,1758722,4791,0,0,0,0,0,0,0.995866,0.996658,0.999705,0.999095,0.176999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,19,2025-09-23T21:08:23.760911-07:00,10623750,5052104,8307541,1855927,904,0,0,0,0,0,0,42325,16427,2495,1678,4156,0,0,0,0,0,0,10666075,5068531,8310036,1857605,5060,0,0,0,0,0,0,0.996032,0.996759,0.999700,0.999097,0.178656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,20,2025-09-23T21:08:25.762401-07:00,11175773,5330223,8752325,1954757,958,0,0,0,0,0,0,42830,16832,2673,1763,4371,0,0,0,0,0,0,11218603,5347055,8754998,1956520,5329,0,0,0,0,0,0,0.996182,0.996852,0.999695,0.999099,0.179771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,21,2025-09-23T21:08:27.763529-07:00,11728340,5607746,9197277,2053539,1009,0,0,0,0,0,0,43307,17247,2842,1850,4584,0,0,0,0,0,0,11771647,5624993,9200119,2055389,5593,0,0,0,0,0,0,0.996321,0.996934,0.999691,0.999100,0.180404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,22,2025-09-23T21:08:29.765077-07:00,12281808,5884342,9642177,2152310,1067,0,0,0,0,0,0,43803,17693,3009,1939,4795,0,0,0,0,0,0,12325611,5902035,9645186,2154249,5862,0,0,0,0,0,0,0.996446,0.997002,0.999688,0.999100,0.182020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,23,2025-09-23T21:08:31.766547-07:00,12844958,6151788,10086315,2251187,1120,14,0,0,0,0,0,44345,18088,3230,2029,5005,0,0,0,0,0,0,12889303,6169876,10089545,2253216,6125,14,0,0,0,0,0,0.996560,0.997068,0.999680,0.999100,0.182857,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,24,2025-09-23T21:08:33.767171-07:00,13421110,6415648,10520470,2349558,1178,14,0,0,0,0,0,45702,18574,3417,2118,5216,0,0,0,0,0,0,13466812,6434222,10523887,2351676,6394,14,0,0,0,0,0,0.996606,0.997113,0.999675,0.999099,0.184235,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,25,2025-09-23T21:08:35.771012-07:00,13996178,6680828,10954637,2448012,1225,14,0,0,0,0,0,46673,19110,3604,2206,5428,0,0,0,0,0,0,14042851,6699938,10958241,2450218,6653,14,0,0,0,0,0,0.996676,0.997148,0.999671,0.999100,0.184127,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,26,2025-09-23T21:08:37.772527-07:00,14570037,6946529,11387640,2547515,1279,14,0,0,0,0,0,48260,19573,3827,2298,5636,0,0,0,0,0,0,14618297,6966102,11391467,2549813,6915,14,0,0,0,0,0,0.996699,0.997190,0.999664,0.999099,0.184960,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,27,2025-09-23T21:08:39.773119-07:00,15142700,7210970,11818270,2647805,1337,14,0,0,0,0,0,54432,20051,4131,2391,5843,0,0,0,0,0,0,15197132,7231021,11822401,2650196,7180,14,0,0,0,0,0,0.996418,0.997227,0.999651,0.999098,0.186212,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,28,2025-09-23T21:08:41.775816-07:00,15717950,7472704,12256009,2746691,1399,14,0,0,0,0,0,55441,20424,4294,2480,6054,0,0,0,0,0,0,15773391,7493128,12260303,2749171,7453,14,0,0,0,0,0,0.996485,0.997274,0.999650,0.999098,0.187710,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
