noise_relative,accept_counts_1,accept_counts_2,accept_counts_4,accept_counts_8,accept_counts_12,accept_counts_16,accept_counts_20,accept_counts_50,accept_counts_100,accept_counts_200,reject_counts_1,reject_counts_2,reject_counts_4,reject_counts_8,reject_counts_12,reject_counts_16,reject_counts_20,reject_counts_50,reject_counts_100,reject_counts_200,totals_1,totals_2,totals_4,totals_8,totals_12,totals_16,totals_20,totals_50,totals_100,totals_200,acceptance_rates_1,acceptance_rates_2,acceptance_rates_4,acceptance_rates_8,acceptance_rates_12,acceptance_rates_16,acceptance_rates_20,acceptance_rates_50,acceptance_rates_100,acceptance_rates_200
0.085,2611230,1350389,2323439,503115,1281,0,0,0,0,0,302,306,7447,5849,27,0,0,0,0,0,2611532,1350695,2330886,508964,1308,0,0,0,0,0,0.9998843590658664,0.9997734499646478,0.9968050775542004,0.9885080280727124,0.9793577981651376,0,0,0,0,0
0.09000000000000001,2627876,1363952,2350383,508432,1299,0,0,0,0,0,320,333,3889,5771,30,0,0,0,0,0,2628196,1364285,2354272,514203,1329,0,0,0,0,0,0.9998782434795579,0.9997559161025739,0.9983481093093746,0.988776806047417,0.9774266365688488,0,0,0,0,0
0.09500000000000001,2628538,1363886,2353502,508293,1300,0,0,0,0,0,314,347,632,5814,31,0,0,0,0,0,2628852,1364233,2354134,514107,1331,0,0,0,0,0,0.9998805562275853,0.9997456446222895,0.9997315360977752,0.9886910701468761,0.976709241172051,0,0,0,0,0
0.10000000000000002,2581153,1336457,2306802,498335,1268,0,0,0,0,0,321,496,316,5721,22,0,0,0,0,0,2581474,1336953,2307118,504056,1290,0,0,0,0,0,0.9998756524373285,0.9996290071528319,0.9998630325800414,0.9886500706270732,0.9829457364341085,0,0,0,0,0
0.10500000000000001,2597006,1399281,2300257,233017,227,0,0,0,0,0,6697,9568,45607,149124,762,0,0,0,0,0,2603703,1408849,2345864,382141,989,0,0,0,0,0,0.9974278940416783,0.993208640528545,0.9805585490036933,0.6097670755035445,0.2295247724974722,0,0,0,0,0
0.11000000000000001,2610178,1376127,2325336,339000,100,0,0,0,0,0,1921,197,19821,165163,1168,0,0,0,0,0,2612099,1376324,2345157,504163,1268,0,0,0,0,0,0.9992645761129269,0.999856865098625,0.9915481138363018,0.6724015844082172,0.07886435331230283,0,0,0,0,0
0.11500000000000002,2626264,1379045,2350273,342811,100,0,0,0,0,0,1945,248,14732,164210,1157,0,0,0,0,0,2628209,1379293,2365005,507021,1257,0,0,0,0,0,0.9992599523097287,0.9998201977389866,0.9937708376937893,0.6761278132463941,0.07955449482895784,0,0,0,0,0
0.12000000000000002,2627007,1378144,2357837,344570,100,0,0,0,0,0,1938,299,7234,163176,1154,0,0,0,0,0,2628945,1378443,2365071,507746,1254,0,0,0,0,0,0.9992628221586987,0.9997830886006893,0.9969413180407691,0.6786267149322693,0.07974481658692185,0,0,0,0,0
0.12500000000000003,2653130,1391894,2385254,349540,101,0,0,0,0,0,2022,333,3532,163519,1184,0,0,0,0,0,2655152,1392227,2388786,513059,1285,0,0,0,0,0,0.9992384616775235,0.9997608148671158,0.9985214246901983,0.6812861678676332,0.07859922178988327,0,0,0,0,0
0.13000000000000003,2613553,1375591,2347897,346405,200,0,0,0,0,0,2156,423,1586,160383,1069,0,0,0,0,0,2615709,1376014,2349483,506788,1269,0,0,0,0,0,0.9991757492901542,0.999692590337017,0.9993249578737109,0.6835303914062685,0.15760441292356187,0,0,0,0,0
0.13500000000000004,2626614,1378220,2363967,350166,200,0,0,0,0,0,2238,463,1154,157828,1062,0,0,0,0,0,2628852,1378683,2365121,507994,1262,0,0,0,0,0,0.9991486778259103,0.9996641722571469,0.9995120757035264,0.6893112910782411,0.15847860538827258,0,0,0,0,0
0.14000000000000004,2626395,1377723,2363953,352860,205,0,0,0,0,0,2463,544,865,155530,1058,0,0,0,0,0,2628858,1378267,2364818,508390,1263,0,0,0,0,0,0.9990630912738535,0.9996053014401418,0.9996342213227403,0.6940734475501091,0.1623119556611243,0,0,0,0,0
0.14500000000000005,2626222,1377670,2363843,357406,209,0,0,0,0,0,2595,417,845,151505,1063,0,0,0,0,0,2628817,1378087,2364688,508911,1272,0,0,0,0,0,0.9990128639612419,0.9996974066223685,0.999642658989262,0.7022956862791333,0.16430817610062892,0,0,0,0,0
0.15000000000000005,2626141,1377576,2363998,360406,606,0,0,0,0,0,2633,494,703,148505,653,0,0,0,0,0,2628774,1378070,2364701,508911,1259,0,0,0,0,0,0.9989983924064982,0.9996415276437336,0.9997027108289801,0.7081906266518114,0.4813343923749007,0,0,0,0,0
0.15500000000000005,2626765,1376922,2364009,366269,805,0,0,0,0,0,2647,521,746,142706,458,0,0,0,0,0,2629412,1377443,2364755,508975,1263,0,0,0,0,0,0.9989933110520527,0.999621762933203,0.9996845339157756,0.7196208065229137,0.6373713380839272,0,0,0,0,0
0.16000000000000006,2626780,1377007,2364147,371956,803,0,0,0,0,0,2628,482,596,137056,456,0,0,0,0,0,2629408,1377489,2364743,509012,1259,0,0,0,0,0,0.999000535481751,0.9996500879498856,0.99974796415509,0.7307411220167698,0.6378077839555203,0,0,0,0,0
0.16500000000000006,2626624,1376688,2363691,375063,807,0,0,0,0,0,2629,479,677,134227,461,0,0,0,0,0,2629253,1377167,2364368,509290,1268,0,0,0,0,0,0.9990000962250495,0.9996521845208315,0.9997136655546006,0.7364428910836655,0.636435331230284,0,0,0,0,0
0.17000000000000007,2652812,1390446,2387458,380774,816,0,0,0,0,0,2692,452,603,133738,477,0,0,0,0,0,2655504,1390898,2388061,514512,1293,0,0,0,0,0,0.9989862564695817,0.9996750300884752,0.9997474938873002,0.7400682588549927,0.6310904872389791,0,0,0,0,0
0.17500000000000007,2616259,1376376,2363745,378875,804,0,0,0,0,0,2892,498,601,130809,450,0,0,0,0,0,2619151,1376874,2364346,509684,1254,0,0,0,0,0,0.9988958254029645,0.999638311130866,0.999745807085765,0.7433527440531781,0.6411483253588517,0,0,0,0,0
0.18000000000000008,2626325,1376873,2363839,381543,810,0,0,0,0,0,3017,566,634,127554,466,0,0,0,0,0,2629342,1377439,2364473,509097,1276,0,0,0,0,0,0.9988525646340415,0.9995890925115377,0.9997318641405506,0.7494504976458317,0.6347962382445141,0,0,0,0,0
0.18500000000000008,2626786,1375858,2363921,384736,803,0,0,0,0,0,3067,484,647,124889,456,0,0,0,0,0,2629853,1376342,2364568,509625,1259,0,0,0,0,0,0.99883377511975,0.9996483432170202,0.9997263770802954,0.7549394162374294,0.6378077839555203,0,0,0,0,0
0.19000000000000009,2626431,1375798,2363443,388848,802,0,0,0,0,0,3070,546,708,120695,463,0,0,0,0,0,2629501,1376344,2364151,509543,1265,0,0,0,0,0,0.9988324781013584,0.9996032968502061,0.9997005267430041,0.7631308839489503,0.6339920948616601,0,0,0,0,0
0.1950000000000001,2626966,1376089,2364012,394373,813,0,0,0,0,0,3149,560,612,115399,463,0,0,0,0,0,2630115,1376649,2364624,509772,1276,0,0,0,0,0,0.9988027139497703,0.9995932151187412,0.9997411850679009,0.7736262485974121,0.6371473354231975,0,0,0,0,0
0.2000000000000001,2626918,1378859,2364538,395379,823,0,0,0,0,0,3194,628,675,113881,473,0,0,0,0,0,2630112,1379487,2365213,509260,1296,0,0,0,0,0,0.9987856030465623,0.99954475830508,0.9997146134407345,0.7763794525389781,0.6350308641975309,0,0,0,0,0
0.2050000000000001,2626723,1378302,2364143,397014,819,0,0,0,0,0,3215,564,607,112833,470,0,0,0,0,0,2629938,1378866,2364750,509847,1289,0,0,0,0,0,0.9987775377214215,0.9995909682304154,0.9997433132466435,0.7786924312587894,0.6353762606671839,0,0,0,0,0
0.2100000000000001,2626602,1378723,2364258,398085,820,0,0,0,0,0,3194,593,619,111533,470,0,0,0,0,0,2629796,1379316,2364877,509618,1290,0,0,0,0,0,0.9987854571229099,0.9995700767626853,0.9997382527717086,0.7811439156387726,0.6356589147286822,0,0,0,0,0
0.2150000000000001,2653188,1392393,2387806,402628,826,0,0,0,0,0,3207,393,578,112383,463,0,0,0,0,0,2656395,1392786,2388384,515011,1289,0,0,0,0,0,0.9987927247265561,0.9997178317415597,0.9997579953642295,0.7817852434219852,0.6408068269976727,0,0,0,0,0
0.2200000000000001,2626701,1378524,2364306,398727,818,0,0,0,0,0,3122,535,442,110736,465,0,0,0,0,0,2629823,1379059,2364748,509463,1283,0,0,0,0,0,0.9988128478608637,0.999612054306596,0.9998130879061955,0.7826417227551363,0.6375681995323461,0,0,0,0,0
0.22500000000000012,2626494,1379015,2364396,399064,812,0,0,0,0,0,3135,452,421,110439,464,0,0,0,0,0,2629629,1379467,2364817,509503,1276,0,0,0,0,0,0.9988078166159561,0.9996723372143009,0.9998219735396016,0.7832417080959287,0.6363636363636364,0,0,0,0,0
0.23000000000000012,2626628,1378591,2364463,399292,910,0,0,0,0,0,3139,466,380,110135,364,0,0,0,0,0,2629767,1379057,2364843,509427,1274,0,0,0,0,0,0.9988063581298268,0.9996620879340012,0.9998393128000463,0.7838061194243728,0.7142857142857143,0,0,0,0,0
0.23500000000000013,2626449,1377966,2364201,400640,914,0,0,0,0,0,3362,432,440,109092,362,0,0,0,0,0,2629811,1378398,2364641,509732,1276,0,0,0,0,0,0.9987215811326365,0.9996865926967392,0.9998139252427747,0.785981653103984,0.7163009404388715,0,0,0,0,0
0.24000000000000013,2621826,1378077,2364468,401831,918,0,0,0,0,0,3459,432,546,107666,365,0,0,0,0,0,2625285,1378509,2365014,509497,1283,0,0,0,0,0,0.998682428764877,0.9996866179328535,0.9997691345590344,0.7886817783029144,0.7155105222135619,0,0,0,0,0
0.24500000000000013,2626991,1377560,2364166,404594,1069,0,0,0,0,0,3556,405,607,105431,203,0,0,0,0,0,2630547,1377965,2364773,510025,1272,0,0,0,0,0,0.9986481899011879,0.9997060883259009,0.9997433157432024,0.7932826822214597,0.8404088050314465,0,0,0,0,0
0.2500000000000001,2574642,1350218,2316990,401411,1055,0,0,0,0,0,3465,425,619,98080,196,0,0,0,0,0,2578107,1350643,2317609,499491,1251,0,0,0,0,0,0.9986559906163709,0.9996853350589312,0.9997329143958278,0.8036401056275289,0.8433253397282174,0,0,0,0,0
0.2550000000000001,2600647,1363242,2340548,409123,1061,0,0,0,0,0,3502,515,452,95494,198,0,0,0,0,0,2604149,1363757,2341000,504617,1259,0,0,0,0,0,0.998655222877032,0.9996223667412889,0.999806920119607,0.8107594472639645,0.8427323272438443,0,0,0,0,0
0.2600000000000001,2627173,1377398,2364329,417980,1272,0,0,0,0,0,3539,490,428,91618,0,0,0,0,0,0,2630712,1377888,2364757,509598,1272,0,0,0,0,0,0.9986547368164969,0.9996443832880466,0.9998190088875939,0.8202151499809653,1,0,0,0,0,0
0.2650000000000001,2615466,1377124,2364212,427035,1277,0,0,0,0,0,3524,519,437,82566,0,0,0,0,0,0,2618990,1377643,2364649,509601,1277,0,0,0,0,0,0.9986544431250215,0.9996232695988728,0.9998151945595308,0.8379791248447315,1,0,0,0,0,0
0.27000000000000013,2652976,1391030,2387795,431103,1279,0,0,0,0,0,3579,479,472,83368,0,0,0,0,0,0,2656555,1391509,2388267,514471,1279,0,0,0,0,0,0.9986527664588161,0.9996557693841721,0.9998023671557661,0.8379539371509764,1,0,0,0,0,0
0.27500000000000013,2627856,1376829,2363912,427003,1280,0,0,0,0,0,3524,484,477,82554,0,0,0,0,0,0,2631380,1377313,2364389,509557,1280,0,0,0,0,0,0.9986607787548739,0.9996485911336058,0.9997982565474632,0.8379886842885095,1,0,0,0,0,0
0.28000000000000014,2626920,1377274,2364038,426258,1271,0,0,0,0,0,3545,635,464,82547,0,0,0,0,0,0,2630465,1377909,2364502,508805,1271,0,0,0,0,0,0.9986523295310905,0.9995391567948246,0.9998037641752894,0.8377629936812728,1,0,0,0,0,0
0.28500000000000014,2625559,1377248,2363947,426445,1270,0,0,0,0,0,3559,692,466,82546,0,0,0,0,0,0,2629118,1377940,2364413,508991,1270,0,0,0,0,0,0.9986463140870817,0.9994978010653585,0.999802910912772,0.8378242444365421,1,0,0,0,0,0
