gating_distance_sq,process_noise_pos,measurement_noise,active_tracks,total_alignment_samples,mean_alignment_rad,mean_alignment_deg,total_misaligned,misalignment_ratio
40.00,0.0500,0.3000,6,57,0.197166,11.2968,4,0.070175
40.00,0.0500,0.4000,5,52,0.068764,3.9399,1,0.019231
40.00,0.0500,0.5000,5,55,0.059539,3.4113,0,0.000000
40.00,0.1500,0.1000,6,45,0.094935,5.4394,1,0.022222
40.00,0.1500,0.2000,5,58,0.123282,7.0635,2,0.034483
40.00,0.1500,0.3000,5,49,0.062549,3.5838,0,0.000000
40.00,0.1500,0.4000,5,51,0.069186,3.9640,0,0.000000
40.00,0.1500,0.5000,6,43,0.114224,6.5445,3,0.069767
40.00,0.2500,0.1000,5,51,0.126365,7.2402,0,0.000000
40.00,0.2500,0.2000,5,48,0.071022,4.0693,0,0.000000
40.00,0.2500,0.3000,7,44,0.193680,11.0970,3,0.068182
40.00,0.2500,0.4000,6,46,0.121190,6.9437,2,0.043478
40.00,0.2500,0.5000,7,53,0.087790,5.0300,0,0.000000
40.00,0.3500,0.1000,6,51,0.206531,11.8334,3,0.058824
40.00,0.3500,0.2000,5,42,0.062900,3.6039,0,0.000000
40.00,0.3500,0.3000,6,51,0.134926,7.7307,1,0.019608
40.00,0.3500,0.4000,6,46,0.123862,7.0968,2,0.043478
40.00,0.3500,0.5000,5,43,0.088088,5.0471,1,0.023256
40.00,0.4500,0.1000,6,39,0.110737,6.3447,0,0.000000
40.00,0.4500,0.2000,7,44,0.070917,4.0632,0,0.000000
40.00,0.4500,0.3000,6,55,0.293719,16.8289,5,0.090909
40.00,0.4500,0.4000,6,59,0.323914,18.5589,5,0.084746
40.00,0.4500,0.5000,5,49,0.199345,11.4216,4,0.081633
48.00,0.0500,0.1000,6,46,0.162610,9.3169,2,0.043478
48.00,0.0500,0.2000,6,54,0.112341,6.4367,2,0.037037
48.00,0.0500,0.3000,6,49,0.121146,6.9412,1,0.020408
48.00,0.0500,0.4000,6,43,0.090332,5.1756,1,0.023256
48.00,0.0500,0.5000,7,44,0.176086,10.0890,2,0.045455
48.00,0.1500,0.1000,6,55,0.205120,11.7525,3,0.054545
48.00,0.1500,0.2000,5,56,0.139152,7.9728,1,0.017857
48.00,0.1500,0.3000,6,48,0.131832,7.5534,2,0.041667
48.00,0.1500,0.4000,6,44,0.082423,4.7225,1,0.022727
48.00,0.1500,0.5000,5,43,0.093197,5.3398,1,0.023256
48.00,0.2500,0.1000,6,50,0.128889,7.3848,1,0.020000
48.00,0.2500,0.2000,5,52,0.190240,10.9000,3,0.057692
48.00,0.2500,0.3000,6,44,0.171856,9.8466,1,0.022727
48.00,0.2500,0.4000,5,48,0.079832,4.5740,0,0.000000
48.00,0.2500,0.5000,5,49,0.064767,3.7109,0,0.000000
48.00,0.3500,0.1000,5,53,0.136005,7.7925,1,0.018868
48.00,0.3500,0.2000,5,53,0.148880,8.5302,1,0.018868
48.00,0.3500,0.3000,5,38,0.087151,4.9934,0,0.000000
48.00,0.3500,0.4000,6,53,0.171359,9.8182,2,0.037736
48.00,0.3500,0.5000,6,37,0.057638,3.3024,0,0.000000
48.00,0.4500,0.1000,6,54,0.191059,10.9468,3,0.055556
48.00,0.4500,0.2000,5,60,0.361684,20.7229,5,0.083333
48.00,0.4500,0.3000,6,55,0.316097,18.1110,5,0.090909
48.00,0.4500,0.4000,6,50,0.108460,6.2143,1,0.020000
48.00,0.4500,0.5000,9,51,0.147830,8.4700,2,0.039216
56.00,0.0500,0.1000,5,43,0.072387,4.1475,0,0.000000
56.00,0.0500,0.2000,6,64,0.176877,10.1343,3,0.046875
56.00,0.0500,0.3000,5,57,0.179981,10.3122,3,0.052632
56.00,0.0500,0.4000,6,49,0.124852,7.1535,2,0.040816
56.00,0.0500,0.5000,5,49,0.114780,6.5764,1,0.020408
56.00,0.1500,0.1000,6,50,0.105735,6.0581,1,0.020000
56.00,0.1500,0.2000,6,54,0.141950,8.1331,3,0.055556
56.00,0.1500,0.3000,7,44,0.059958,3.4353,0,0.000000
56.00,0.1500,0.4000,5,56,0.109559,6.2773,1,0.017857
56.00,0.1500,0.5000,6,43,0.055264,3.1664,0,0.000000
56.00,0.2500,0.1000,6,48,0.179559,10.2880,2,0.041667
56.00,0.2500,0.2000,6,49,0.143233,8.2066,2,0.040816
56.00,0.2500,0.3000,6,42,0.075870,4.3471,0,0.000000
56.00,0.2500,0.4000,7,44,0.188888,10.8225,3,0.068182
56.00,0.2500,0.5000,5,53,0.090766,5.2005,0,0.000000
56.00,0.3500,0.1000,5,61,0.240022,13.7522,3,0.049180
56.00,0.3500,0.2000,6,56,0.336655,19.2889,6,0.107143
56.00,0.3500,0.3000,6,43,0.078280,4.4851,0,0.000000
56.00,0.3500,0.4000,6,40,0.068373,3.9175,0,0.000000
56.00,0.3500,0.5000,6,45,0.066791,3.8268,0,0.000000
56.00,0.4500,0.1000,6,43,0.094395,5.4084,0,0.000000
56.00,0.4500,0.2000,7,38,0.067097,3.8444,0,0.000000
56.00,0.4500,0.3000,6,49,0.097105,5.5637,1,0.020408
56.00,0.4500,0.4000,6,41,0.073326,4.2012,0,0.000000
56.00,0.4500,0.5000,5,39,0.120696,6.9154,1,0.025641
64.00,0.0500,0.1000,5,45,0.126863,7.2687,1,0.022222
64.00,0.0500,0.2000,5,44,0.074415,4.2637,0,0.000000
64.00,0.0500,0.3000,6,44,0.073036,4.1846,1,0.022727
64.00,0.0500,0.4000,6,51,0.082334,4.7174,1,0.019608
64.00,0.0500,0.5000,6,40,0.053367,3.0577,0,0.000000
64.00,0.1500,0.1000,6,46,0.204835,11.7362,3,0.065217
64.00,0.1500,0.2000,6,59,0.194611,11.1504,3,0.050847
64.00,0.1500,0.3000,5,45,0.065369,3.7454,0,0.000000
64.00,0.1500,0.4000,6,45,0.082261,4.7132,1,0.022222
64.00,0.1500,0.5000,5,58,0.065196,3.7354,0,0.000000
64.00,0.2500,0.1000,6,53,0.292486,16.7582,5,0.094340
64.00,0.2500,0.2000,5,46,0.156415,8.9619,2,0.043478
64.00,0.2500,0.3000,5,53,0.122490,7.0182,1,0.018868
64.00,0.2500,0.4000,5,57,0.122996,7.0471,1,0.017544
64.00,0.2500,0.5000,6,51,0.069901,4.0050,0,0.000000
64.00,0.3500,0.1000,6,52,0.240674,13.7896,4,0.076923
64.00,0.3500,0.2000,7,44,0.140385,8.0435,1,0.022727
64.00,0.3500,0.3000,6,59,0.143969,8.2488,3,0.050847
64.00,0.3500,0.4000,5,52,0.110737,6.3448,1,0.019231
64.00,0.3500,0.5000,5,46,0.112915,6.4695,1,0.021739
64.00,0.4500,0.1000,5,53,0.141050,8.0816,2,0.037736
64.00,0.4500,0.2000,5,48,0.085007,4.8706,0,0.000000
64.00,0.4500,0.3000,6,57,0.304584,17.4514,5,0.087719
64.00,0.4500,0.4000,5,54,0.118516,6.7905,1,0.018519
64.00,0.4500,0.5000,5,46,0.082008,4.6987,0,0.000000
