timestamp,git_sha,process_noise_pos,process_noise_vel,measurement_noise,candidate_run_id,reference_run_id,duration_seconds_requested,detection_rate,false_positive_rate,composite_score,matched_count,reference_count,candidate_count,wall_duration_seconds,error
2026-09-18T00:58:36-0700,3d72d4016fe57755d807a957573799ad132e253a,0.01,0.05,0.01,d37c1a54-e2b2-4cde-8004-806e3134299e,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.08163265306122448,0.8857142857142857,-1.1897959183673468,4,49,35,92.57,
2026-09-18T01:00:09-0700,3d72d4016fe57755d807a957573799ad132e253a,0.01,0.05,0.05,d101ff5f-5469-495a-a13a-5d8f460eca60,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.08163265306122448,0.9047619047619048,-1.2278911564625852,4,49,42,98.29,
2026-09-18T01:01:47-0700,3d72d4016fe57755d807a957573799ad132e253a,0.01,0.05,0.25,f4de896b-f31c-4241-9d55-740cf24d0027,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.10204081632653061,0.8863636363636364,-1.170686456400742,5,49,44,88.3,
2026-09-18T01:03:16-0700,de78dd6fba779f902afc3972f846be1b58fd3a38,0.01,0.2,0.01,653df112-2296-46f6-a222-de07aa3a33c2,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.08163265306122448,0.8888888888888888,-1.196145124716553,4,49,36,86.24,
2026-09-18T01:04:42-0700,de78dd6fba779f902afc3972f846be1b58fd3a38,0.01,0.2,0.05,6626988d-98ce-4bfe-a596-37c2718fb8c1,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.10204081632653061,0.8837209302325582,-1.1654010441385858,5,49,43,92.27,
2026-09-18T01:06:14-0700,de78dd6fba779f902afc3972f846be1b58fd3a38,0.01,0.2,0.25,ccbf00aa-4fca-4f7a-87bd-2538c2d08e66,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.10204081632653061,0.8809523809523809,-1.1598639455782314,5,49,42,86.28,
2026-09-18T01:07:40-0700,de78dd6fba779f902afc3972f846be1b58fd3a38,0.01,2.0,0.01,244c8ece-8503-4994-a6f5-6a190e967f32,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.08163265306122448,0.9,-1.2183673469387757,4,49,40,92.34,
2026-09-18T01:09:13-0700,de78dd6fba779f902afc3972f846be1b58fd3a38,0.01,2.0,0.05,0d3652a5-a183-4f55-b175-cd27c2f164d6,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.08163265306122448,0.9024390243902439,-1.2232453957192635,4,49,41,96.3,
2026-09-18T01:10:49-0700,de78dd6fba779f902afc3972f846be1b58fd3a38,0.01,2.0,0.25,056f378c-be42-469e-8db6-b95c4b087d2e,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.08163265306122448,0.9024390243902439,-1.2232453957192635,4,49,41,108.4,
2026-09-18T01:12:37-0700,de78dd6fba779f902afc3972f846be1b58fd3a38,0.05,0.05,0.01,b94d03da-0c34-4b8d-9cbe-dcd0b7bcacb3,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.08163265306122448,0.8947368421052632,-1.207841031149302,4,49,38,104.31,
2026-09-18T01:14:22-0700,de78dd6fba779f902afc3972f846be1b58fd3a38,0.05,0.05,0.05,a0816553-3e9a-4e6a-b994-c679b8cab5dc,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.10204081632653061,0.8837209302325582,-1.1654010441385858,5,49,43,96.28,
2026-09-18T01:15:58-0700,de78dd6fba779f902afc3972f846be1b58fd3a38,0.05,0.05,0.25,cbb6cf2d-3bcb-4cdc-84c1-1729d39137b7,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.10204081632653061,0.8888888888888888,-1.1757369614512472,5,49,45,92.34,
2026-09-18T01:17:30-0700,de78dd6fba779f902afc3972f846be1b58fd3a38,0.05,0.2,0.01,76b83247-e4e4-48c2-ab3d-6e27b4eabf0f,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.08163265306122448,0.8918918918918919,-1.2021511307225592,4,49,37,104.3,
2026-09-18T01:19:15-0700,de78dd6fba779f902afc3972f846be1b58fd3a38,0.05,0.2,0.05,9feedd38-aeb0-4df7-8d57-0dfc8fb55bca,60a4774c-db3e-4008-9b7e-d1059ec27319,60,0.08163265306122448,0.9047619047619048,-1.2278911564625852,4,49,42,106.38,
